Product_Category,Supplier_Region,Shipping_Mode,Warehouse_Type,Order_Quantity,Distance_km,Supplier_Lead_Time_days,Transportation_Cost,Inventory_Level,Demand_Forecast,Supplier_Reliability_Score,Historical_Delay_Rate,Delivery_Time_days,Delivery_Status
Industrial Equipment,Europe,Air,Manual,70.0,7453.3,7.0,4779.44,52.0,69.0,93.8,0.057,14.4,On Time
Pharmaceuticals,South Asia,Sea,Manual,102.0,7461.3,23.0,1149.63,110.0,120.0,75.4,0.067,67.8,Severely Delayed
Automotive Parts,Latin America,Road,Manual,1222.0,6254.6,13.0,22705.9,1077.0,1368.0,85.1,0.032,35.0,On Time
Furniture,North America,Road,Cross-Dock,35.0,3955.8,5.0,551.04,7.0,39.0,90.0,0.075,17.4,On Time
Automotive Parts,North America,Sea,Hybrid,179.0,3842.3,10.0,955.08,133.0,183.0,95.9,0.01,21.9,On Time
Industrial Equipment,Latin America,Sea,Automated,192.0,9096.4,,2263.31,233.0,256.0,66.6,0.229,57.2,Delayed
Electronics,Latin America,Sea,Hybrid,805.0,11406.7,18.0,10098.85,419.0,556.0,71.2,0.236,71.4,Severely Delayed
Electronics,North America,Rail,Manual,1012.0,3515.0,5.0,7634.84,1021.0,1322.0,96.7,0.059,12.9,Early
Pharmaceuticals,Southeast Asia,Sea,Automated,168.0,8835.8,21.0,1757.8,136.0,176.0,75.0,0.106,59.7,Delayed
Perishable Food,Europe,Road,Automated,535.0,7049.2,10.0,13053.06,969.0,627.0,84.6,0.115,36.6,Delayed
Pharmaceuticals,South Asia,Road,Automated,488.0,8337.1,17.0,12874.25,367.0,521.0,76.1,0.167,52.2,Delayed
Automotive Parts,East Asia,Road,Hybrid,167.0,9118.9,13.0,5032.9,147.0,121.0,82.3,0.023,46.9,Delayed
Industrial Equipment,Europe,Sea,Automated,41.0,5745.5,17.0,507.5,19.0,51.0,82.4,0.061,36.7,On Time
Perishable Food,Europe,Road,Automated,296.0,7638.5,8.0,6351.33,124.0,186.0,85.7,0.08,35.7,Delayed
Furniture,East Asia,Road,Manual,80.0,11075.5,19.0,2741.68,27.0,91.0,,0.026,68.0,Severely Delayed
Electronics,East Asia,Air,Cross-Dock,180.0,11680.0,14.0,18998.84,252.0,198.0,67.4,0.11,28.9,Delayed
Pharmaceuticals,Europe,Road,Hybrid,89.0,6986.2,4.0,2080.39,57.0,86.0,88.3,0.108,28.3,On Time
Electronics,East Asia,Sea,Manual,415.0,6680.6,24.0,3674.03,309.0,363.0,76.6,0.153,51.9,Delayed
Perishable Food,Europe,Air,Hybrid,774.0,6692.0,8.0,52800.31,1340.0,956.0,86.4,0.121,14.5,On Time
Pharmaceuticals,Europe,Sea,Automated,359.0,6539.4,12.0,2981.81,167.0,330.0,80.4,0.069,37.1,On Time
Furniture,South Asia,Air,Cross-Dock,52.0,8793.4,9.0,5214.23,45.0,63.0,71.8,0.224,20.1,On Time
Furniture,East Asia,Road,Automated,78.0,11309.9,12.0,2831.86,53.0,70.0,92.8,0.01,57.3,Severely Delayed
Apparel,South Asia,Air,Automated,168.0,7994.2,10.0,13193.32,153.0,153.0,67.9,0.133,15.8,On Time
Electronics,South Asia,Sea,Manual,282.0,4513.4,18.0,1698.82,241.0,298.0,70.0,0.203,36.4,On Time
Electronics,North America,Sea,Automated,730.0,2980.4,10.0,2734.46,796.0,822.0,87.7,0.146,19.1,Early
Industrial Equipment,Europe,Road,Automated,128.0,6073.8,9.0,2421.63,118.0,144.0,75.2,0.22,30.4,On Time
Industrial Equipment,Southeast Asia,Sea,Hybrid,72.0,7696.1,23.0,873.36,69.0,80.0,65.5,0.228,64.6,Severely Delayed
Apparel,East Asia,Sea,Manual,2359.0,9785.4,19.0,24796.72,2302.0,2802.0,85.2,0.06,60.6,Delayed
Apparel,Europe,Road,Automated,177.0,8231.8,7.0,4375.39,255.0,172.0,84.4,0.098,36.8,Delayed
Perishable Food,South Asia,Air,Hybrid,2123.0,8209.9,10.0,163730.5,844.0,1662.0,84.7,0.103,18.7,On Time
Furniture,Southeast Asia,Sea,Hybrid,55.0,6843.6,21.0,617.02,28.0,56.0,70.3,0.142,49.5,Delayed
Apparel,East Asia,Sea,Cross-Dock,670.0,8083.0,26.0,6809.38,655.0,626.0,93.1,0.055,60.4,Delayed
Electronics,North America,Sea,Automated,581.0,2921.0,14.0,2136.02,458.0,783.0,79.4,0.109,24.2,On Time
Perishable Food,North America,Air,Cross-Dock,576.0,3426.4,3.0,16589.76,539.0,594.0,88.9,0.088,5.9,Early
Apparel,South Asia,Sea,Hybrid,445.0,8244.0,23.0,4190.44,267.0,312.0,68.5,0.149,60.4,Delayed
Apparel,Latin America,Road,Manual,1417.0,10327.0,12.0,46835.61,2088.0,1726.0,76.5,0.087,53.5,Severely Delayed
Electronics,East Asia,Road,Automated,409.0,8856.7,16.0,12707.01,225.0,491.0,78.0,0.201,53.6,Delayed
Furniture,East Asia,Road,Manual,37.0,9448.5,19.0,1359.89,23.0,31.0,78.7,0.104,58.4,Severely Delayed
Pharmaceuticals,Europe,Rail,Automated,198.0,8458.8,8.0,3644.9,337.0,235.0,87.3,0.055,32.6,Delayed
Apparel,North America,Rail,Hybrid,404.0,2564.5,5.0,2341.58,579.0,467.0,99.0,0.01,11.1,Early
Pharmaceuticals,East Asia,Sea,Hybrid,58.0,10590.9,25.0,1037.82,73.0,55.0,90.2,0.047,73.7,Severely Delayed
Perishable Food,South Asia,Road,Automated,300.0,7886.8,17.0,6724.94,240.0,428.0,71.1,0.148,49.8,Delayed
Automotive Parts,East Asia,Road,Automated,533.0,8992.7,17.0,13668.2,375.0,494.0,76.1,0.055,53.4,Delayed
Industrial Equipment,Southeast Asia,Road,Cross-Dock,37.0,8172.8,16.0,1199.29,49.0,50.0,70.6,0.129,49.3,Delayed
Electronics,North America,Sea,Manual,1399.0,3764.7,11.0,5952.87,918.0,1310.0,83.3,0.074,23.3,On Time
Industrial Equipment,East Asia,Rail,Manual,101.0,8996.3,19.0,2191.43,22.0,101.0,88.1,0.103,48.6,Delayed
Furniture,South Asia,Air,Cross-Dock,246.0,6373.7,12.0,,189.0,300.0,69.4,0.171,20.8,On Time
Furniture,Southeast Asia,Air,Automated,23.0,7147.7,8.0,1703.45,19.0,25.0,83.2,0.105,11.9,Early
Apparel,Southeast Asia,Sea,Hybrid,893.0,10948.6,23.0,12131.87,1001.0,975.0,83.1,0.054,72.5,Severely Delayed
Apparel,East Asia,Road,Hybrid,756.0,8747.1,16.0,22552.49,889.0,999.0,81.0,0.106,56.2,Severely Delayed
Electronics,Europe,Road,Manual,559.0,6735.6,8.0,10744.82,470.0,540.0,79.0,0.08,31.1,On Time
Industrial Equipment,East Asia,Sea,Manual,6.0,10842.8,24.0,328.57,6.0,7.0,86.6,0.083,82.1,Severely Delayed
Pharmaceuticals,East Asia,Sea,Cross-Dock,771.0,9138.3,26.0,8034.17,728.0,952.0,74.4,0.133,68.3,Severely Delayed
Perishable Food,Southeast Asia,Road,Automated,959.0,8252.8,8.0,26768.79,556.0,871.0,76.0,0.158,38.5,Delayed
Pharmaceuticals,Southeast Asia,Air,Automated,239.0,8942.1,7.0,18090.86,165.0,192.0,85.0,0.059,11.6,Early
Electronics,East Asia,Road,Manual,406.0,8050.0,20.0,11229.0,329.0,448.0,67.4,0.239,54.4,Delayed
Electronics,Southeast Asia,Road,Hybrid,206.0,5932.2,15.0,4058.52,170.0,220.0,74.3,0.14,36.8,On Time
Furniture,Europe,Sea,Manual,347.0,5645.2,14.0,2269.45,304.0,431.0,84.1,0.032,35.1,On Time
Perishable Food,Europe,Air,Automated,146.0,8522.3,4.0,11168.59,130.0,116.0,85.2,0.086,6.9,Early
Automotive Parts,Southeast Asia,Rail,Manual,303.0,7351.1,17.0,5040.38,277.0,293.0,67.4,0.248,43.1,Delayed
Furniture,North America,Road,Manual,93.0,3582.3,9.0,1133.52,41.0,89.0,99.0,0.032,18.7,On Time
Pharmaceuticals,Latin America,Sea,Hybrid,138.0,6699.9,19.0,1249.45,78.0,97.0,73.0,0.13,45.6,Delayed
Automotive Parts,East Asia,Sea,Cross-Dock,365.0,11795.1,27.0,4858.97,271.0,430.0,69.7,0.106,85.7,Severely Delayed
Electronics,North America,Road,Manual,271.0,3310.3,6.0,2614.07,385.0,324.0,92.2,0.045,14.5,Early
Furniture,South Asia,Air,Hybrid,59.0,6610.4,9.0,3810.54,22.0,48.0,80.8,0.094,16.2,On Time
Furniture,Southeast Asia,Rail,Hybrid,125.0,8003.1,14.0,2240.82,93.0,162.0,75.5,0.201,40.8,Delayed
Apparel,East Asia,Sea,Hybrid,764.0,13797.3,27.0,11864.6,1103.0,969.0,91.8,0.106,95.0,Severely Delayed
Electronics,South Asia,Sea,Manual,1524.0,7772.2,26.0,14018.0,1661.0,1972.0,61.5,0.29,63.3,Delayed
Apparel,Europe,Road,Automated,309.0,6316.6,8.0,5904.81,235.0,229.0,94.8,0.019,29.4,On Time
Electronics,South Asia,Sea,Hybrid,502.0,3463.9,25.0,2314.78,672.0,589.0,72.5,0.175,37.4,On Time
Pharmaceuticals,East Asia,Road,Hybrid,328.0,11813.6,18.0,12135.39,384.0,366.0,76.6,0.145,71.8,Severely Delayed
Electronics,East Asia,Road,Hybrid,700.0,8311.7,17.0,18617.71,420.0,708.0,86.7,0.113,50.5,Delayed
Furniture,Europe,Air,Automated,210.0,5502.4,4.0,9503.56,298.0,239.0,92.6,0.01,3.8,Early
Electronics,South Asia,Sea,Automated,73.0,6210.8,19.0,716.49,85.0,80.0,83.1,0.132,43.2,On Time
Electronics,South Asia,Sea,Automated,317.0,9098.7,21.0,3666.46,366.0,372.0,82.8,0.046,60.1,Delayed
Apparel,North America,Road,Automated,289.0,3473.4,4.0,3086.17,533.0,381.0,90.4,0.064,15.2,On Time
Electronics,Latin America,Air,Automated,186.0,6389.1,12.0,10262.53,181.0,191.0,62.3,0.24,18.2,On Time
Industrial Equipment,Southeast Asia,Air,Automated,23.0,7898.7,11.0,2092.65,23.0,30.0,65.1,0.207,16.9,Early
Apparel,East Asia,Air,Automated,,8078.1,12.0,43203.89,617.0,711.0,71.6,0.144,18.7,On Time
Apparel,Southeast Asia,Road,Automated,918.0,8730.7,17.0,25461.34,733.0,957.0,73.4,0.182,53.8,Delayed
Electronics,Southeast Asia,Sea,Cross-Dock,949.0,7629.6,17.0,6979.06,569.0,842.0,77.5,0.153,45.2,Delayed
Apparel,Europe,Road,Manual,714.0,4663.9,6.0,9588.84,810.0,663.0,91.3,0.038,19.4,On Time
Pharmaceuticals,North America,Rail,Manual,126.0,3448.0,10.0,1189.83,168.0,120.0,93.4,0.01,31.0,Delayed
Automotive Parts,East Asia,Sea,Hybrid,485.0,9402.9,26.0,5530.88,560.0,554.0,77.0,0.195,69.5,Severely Delayed
Apparel,Europe,Sea,Manual,975.0,5033.4,11.0,4958.12,1245.0,1234.0,96.2,0.061,28.0,On Time
Furniture,North America,Sea,Automated,286.0,2265.2,13.0,956.49,264.0,394.0,99.0,0.01,19.6,Early
Perishable Food,South Asia,Air,Manual,440.0,7566.3,8.0,34720.18,163.0,377.0,67.9,0.194,16.8,On Time
Automotive Parts,East Asia,Sea,Manual,124.0,9020.1,23.0,1489.67,98.0,107.0,81.3,0.11,62.6,Delayed
Pharmaceuticals,East Asia,Sea,Manual,306.0,9132.0,25.0,3155.36,297.0,339.0,86.1,0.078,78.4,Severely Delayed
Apparel,North America,Sea,Automated,660.0,,12.0,2809.53,369.0,537.0,98.7,0.029,25.9,On Time
Furniture,East Asia,Road,Manual,98.0,6184.9,17.0,1991.66,75.0,130.0,85.6,0.063,39.3,On Time
Automotive Parts,Europe,Sea,Automated,395.0,6570.6,13.0,3295.73,188.0,356.0,84.4,0.06,36.5,On Time
Perishable Food,Southeast Asia,Road,Automated,450.0,9178.0,17.0,15530.24,513.0,574.0,69.8,0.195,54.6,Delayed
Industrial Equipment,South Asia,Road,Hybrid,,6963.3,16.0,439.82,13.0,17.0,67.5,0.211,44.6,Delayed
Automotive Parts,East Asia,Sea,Automated,688.0,7078.4,22.0,5811.02,563.0,673.0,80.4,0.057,50.5,Delayed
Electronics,East Asia,Sea,Manual,,8370.0,24.0,5682.95,595.0,601.0,78.9,0.155,61.8,Delayed
Automotive Parts,South Asia,Sea,Automated,136.0,6614.9,21.0,1161.71,189.0,169.0,66.3,0.222,50.4,Delayed
Pharmaceuticals,Southeast Asia,Sea,Hybrid,228.0,5869.4,20.0,1702.8,109.0,240.0,80.3,0.161,43.2,On Time
Pharmaceuticals,Europe,Sea,Manual,382.0,6934.5,15.0,2759.8,168.0,227.0,85.9,0.067,54.4,Severely Delayed
Perishable Food,Southeast Asia,Road,Hybrid,1400.0,8204.7,18.0,39405.82,1502.0,1527.0,78.6,0.088,50.0,Delayed
Automotive Parts,Latin America,Sea,Manual,235.0,7781.6,18.0,2301.23,236.0,256.0,64.2,0.223,51.8,Delayed
Pharmaceuticals,East Asia,Road,Cross-Dock,285.0,11185.2,18.0,10227.18,397.0,342.0,88.1,0.115,67.1,Severely Delayed
Pharmaceuticals,Europe,Air,Automated,100.0,5889.3,6.0,5148.37,101.0,98.0,93.0,0.05,6.4,Early
Electronics,North America,Sea,Hybrid,660.0,4432.3,13.0,,710.0,748.0,96.9,0.01,27.0,On Time
Perishable Food,North America,Air,Manual,861.0,3330.6,3.0,25730.59,678.0,859.0,89.3,0.064,5.5,Early
Industrial Equipment,South Asia,Sea,Manual,88.0,5962.9,22.0,857.56,27.0,101.0,72.6,0.157,55.3,Delayed
Furniture,South Asia,Air,Hybrid,164.0,6002.0,12.0,9280.34,188.0,184.0,77.8,0.092,18.9,On Time
Electronics,Europe,Sea,Cross-Dock,326.0,6606.6,15.0,2820.9,303.0,444.0,95.8,0.026,37.4,On Time
Industrial Equipment,Europe,Sea,Hybrid,99.0,5247.5,12.0,727.67,133.0,101.0,87.9,0.055,36.7,Delayed
Automotive Parts,South Asia,Sea,Manual,750.0,7387.1,19.0,6471.46,928.0,924.0,64.6,0.061,49.2,Delayed
Pharmaceuticals,East Asia,Sea,Manual,111.0,8815.1,27.0,1410.9,28.0,80.0,79.3,0.173,82.2,Severely Delayed
Electronics,North America,Sea,Automated,779.0,3233.2,11.0,3075.86,889.0,803.0,98.1,0.01,20.6,Early
Pharmaceuticals,Europe,Road,Hybrid,173.0,6451.3,7.0,3683.69,171.0,175.0,92.6,0.06,28.6,On Time
Electronics,North America,Road,Manual,512.0,4133.0,7.0,7632.05,360.0,514.0,91.8,0.013,18.2,On Time
Apparel,East Asia,Sea,Automated,567.0,8571.5,24.0,,558.0,680.0,79.4,0.062,60.6,Delayed
Furniture,South Asia,Sea,Automated,152.0,7438.6,24.0,1380.2,191.0,244.0,84.2,0.056,55.2,Delayed
Industrial Equipment,Europe,Air,Cross-Dock,148.0,7019.8,4.0,9799.55,90.0,164.0,81.8,0.064,9.0,Early
Apparel,Europe,Sea,Automated,665.0,5084.5,12.0,4210.14,807.0,679.0,88.1,0.032,29.4,On Time
Automotive Parts,East Asia,Sea,Manual,543.0,10393.9,27.0,6615.21,562.0,574.0,84.9,0.052,76.3,Severely Delayed
Industrial Equipment,North America,Sea,Automated,177.0,4013.7,10.0,1119.2,79.0,185.0,92.6,0.06,22.2,On Time
Electronics,South Asia,Sea,Manual,266.0,8452.1,25.0,3061.52,294.0,243.0,69.3,0.188,63.6,Delayed
Apparel,Europe,Air,Automated,345.0,5202.8,5.0,16008.49,200.0,361.0,93.0,0.01,4.1,Early
Furniture,East Asia,Sea,Hybrid,235.0,7723.5,23.0,2358.88,244.0,269.0,85.6,0.103,55.0,Delayed
Automotive Parts,Europe,Sea,Automated,370.0,6436.4,16.0,3025.36,51.0,432.0,89.1,0.055,40.0,On Time
Perishable Food,Latin America,Air,Automated,797.0,8623.8,8.0,65398.98,455.0,768.0,74.6,0.156,14.4,On Time
Furniture,South Asia,Air,Automated,262.0,7225.0,,16799.6,325.0,254.0,70.8,0.156,15.7,On Time
Pharmaceuticals,South Asia,Road,Automated,143.0,6737.8,16.0,3086.87,110.0,201.0,85.2,0.156,40.3,On Time
Furniture,East Asia,Sea,Hybrid,172.0,9817.8,26.0,2102.5,133.0,231.0,90.1,0.044,70.1,Severely Delayed
Furniture,East Asia,Road,Automated,328.0,5132.5,18.0,5946.07,387.0,379.0,78.1,0.113,35.8,On Time
Electronics,Latin America,Rail,Hybrid,155.0,9842.4,13.0,2970.48,214.0,183.0,71.1,0.125,46.0,Delayed
Electronics,Latin America,Sea,Manual,1001.0,11131.5,17.0,13053.57,1011.0,1229.0,78.9,0.092,65.6,Severely Delayed
Electronics,East Asia,Air,Automated,282.0,8554.3,13.0,20552.94,302.0,342.0,86.0,0.099,20.0,On Time
Industrial Equipment,Southeast Asia,Road,Automated,60.0,8498.7,11.0,1831.6,39.0,56.0,76.8,0.109,43.4,Delayed
Industrial Equipment,East Asia,Air,Manual,21.0,12373.9,13.0,2717.64,25.0,20.0,76.2,0.01,31.4,Delayed
Automotive Parts,North America,Sea,Manual,,3521.1,12.0,2304.06,916.0,712.0,84.8,0.098,23.9,On Time
Electronics,Europe,Rail,Manual,169.0,6857.3,12.0,2826.26,99.0,140.0,88.6,0.069,32.6,On Time
Pharmaceuticals,South Asia,Air,Hybrid,354.0,9586.8,13.0,24411.47,253.0,357.0,84.2,0.068,26.3,On Time
Electronics,North America,Air,Automated,352.0,4782.9,3.0,14631.34,361.0,374.0,97.2,0.026,1.5,Early
Apparel,Europe,Rail,Manual,792.0,5258.9,10.0,8925.52,675.0,918.0,92.0,0.036,22.6,On Time
Apparel,East Asia,Road,Manual,1038.0,8796.3,16.0,28118.55,611.0,925.0,86.7,0.11,51.6,Delayed
Automotive Parts,Latin America,Road,Automated,1290.0,10215.4,14.0,36617.76,775.0,1141.0,58.5,0.186,57.2,Severely Delayed
Electronics,East Asia,Road,Manual,377.0,10350.1,18.0,12705.66,182.0,338.0,84.1,0.119,63.0,Severely Delayed
Furniture,East Asia,Air,Manual,179.0,10707.3,14.0,15790.83,162.0,222.0,84.0,0.073,29.0,Delayed
Industrial Equipment,Latin America,Road,Hybrid,97.0,4647.4,18.0,1708.11,72.0,99.0,,0.097,35.8,On Time
Furniture,South Asia,Road,Hybrid,147.0,4667.8,17.0,2228.8,112.0,141.0,87.6,0.084,32.3,On Time
Electronics,South Asia,Road,Automated,124.0,9512.3,18.0,3749.78,45.0,108.0,77.0,0.11,58.7,Severely Delayed
Industrial Equipment,East Asia,Air,Manual,41.0,10823.3,10.0,4799.59,33.0,37.0,85.6,0.01,22.8,On Time
Furniture,East Asia,Sea,Hybrid,44.0,10104.7,22.0,699.57,103.0,61.0,77.7,0.055,67.0,Severely Delayed
Perishable Food,East Asia,Air,Manual,2456.0,7375.7,11.0,147401.9,2739.0,2776.0,83.8,0.076,20.0,On Time
Furniture,South Asia,Road,Hybrid,311.0,6662.2,15.0,6700.63,232.0,293.0,75.1,0.174,39.6,Delayed
Automotive Parts,North America,Air,Hybrid,651.0,3858.9,1.0,23827.55,652.0,583.0,99.0,0.01,1.0,Early
Perishable Food,North America,Road,Manual,1893.0,2628.7,6.0,15078.93,1884.0,2085.0,96.0,0.019,12.4,Early
Pharmaceuticals,Southeast Asia,Road,Automated,91.0,7159.0,18.0,1892.09,67.0,89.0,77.4,0.158,47.0,Delayed
Perishable Food,Latin America,Road,Hybrid,1427.0,9394.6,13.0,42645.96,1483.0,1546.0,63.1,0.128,51.6,Delayed
Electronics,South Asia,Road,Manual,236.0,7964.3,16.0,6067.01,173.0,202.0,66.7,0.106,49.0,Delayed
Automotive Parts,Latin America,Road,Automated,186.0,7971.5,13.0,4706.44,115.0,175.0,56.8,0.311,48.4,Delayed
Electronics,Southeast Asia,Road,Automated,710.0,9649.8,17.0,22048.07,646.0,874.0,74.2,0.125,58.0,Severely Delayed
Perishable Food,Latin America,Air,Automated,1421.0,10304.4,11.0,141825.0,1207.0,1526.0,75.3,0.162,21.3,On Time
Perishable Food,Europe,Road,Manual,394.0,4402.5,8.0,5649.51,406.0,441.0,88.7,0.099,21.2,On Time
Apparel,East Asia,Road,Automated,1539.0,12300.9,19.0,62309.02,1535.0,1818.0,86.1,0.054,74.6,Severely Delayed
Perishable Food,East Asia,Air,Hybrid,944.0,11494.6,15.0,100729.28,1148.0,1309.0,95.1,0.01,31.8,Delayed
Pharmaceuticals,Southeast Asia,Road,Cross-Dock,405.0,8504.9,16.0,11322.86,418.0,419.0,70.5,0.19,51.3,Delayed
Apparel,North America,Sea,Cross-Dock,465.0,3413.5,12.0,1948.38,655.0,537.0,84.5,0.053,22.0,Early
Electronics,Southeast Asia,Road,Automated,453.0,9365.1,16.0,13908.03,564.0,515.0,76.9,0.192,54.6,Delayed
Automotive Parts,Europe,Road,Manual,704.0,7124.5,7.0,17522.75,339.0,589.0,78.8,0.14,33.2,Delayed
Industrial Equipment,East Asia,Sea,Cross-Dock,32.0,9035.6,21.0,559.93,18.0,23.0,81.8,0.076,65.9,Severely Delayed
Perishable Food,South Asia,Air,Hybrid,2723.0,9281.7,10.0,201853.31,3859.0,2988.0,71.4,0.102,21.3,On Time
Apparel,Latin America,Air,Automated,1053.0,5466.2,11.0,54893.93,827.0,1431.0,64.5,0.311,15.6,Early
Electronics,East Asia,Air,Hybrid,487.0,8363.0,14.0,35028.09,399.0,497.0,74.4,0.093,25.7,On Time
Electronics,Europe,Sea,Manual,46.0,7023.9,13.0,630.72,51.0,61.0,85.0,0.059,39.3,Delayed
Perishable Food,Latin America,Air,Hybrid,1012.0,8717.5,12.0,70062.79,709.0,1260.0,68.0,0.144,23.3,On Time
Industrial Equipment,East Asia,Road,Cross-Dock,144.0,10696.3,15.0,4770.4,85.0,149.0,80.0,0.045,58.9,Severely Delayed
Furniture,East Asia,Air,Cross-Dock,20.0,7115.2,13.0,1757.33,23.0,26.0,90.2,0.032,21.0,On Time
Apparel,North America,Sea,Manual,1647.0,3339.7,11.0,6124.04,1780.0,1755.0,96.4,0.01,20.3,Early
Industrial Equipment,Southeast Asia,Sea,Automated,21.0,9897.9,21.0,495.98,19.0,26.0,78.5,0.103,64.6,Severely Delayed
Perishable Food,North America,Air,Hybrid,1200.0,2559.0,1.0,29742.55,1137.0,1184.0,94.2,0.055,1.7,Early
Apparel,East Asia,Sea,Hybrid,1879.0,9088.8,20.0,18718.74,1852.0,2007.0,76.0,0.158,60.1,Delayed
Perishable Food,East Asia,Road,Manual,1334.0,8592.3,15.0,36146.24,1027.0,1448.0,85.9,0.064,47.7,Delayed
Apparel,South Asia,Air,Manual,1172.0,7670.9,13.0,79139.21,650.0,1453.0,68.1,0.124,22.9,On Time
Industrial Equipment,South Asia,Sea,Hybrid,142.0,7709.5,22.0,1430.55,160.0,171.0,77.7,0.107,61.8,Severely Delayed
Apparel,East Asia,Sea,Manual,985.0,9666.0,21.0,11423.92,1534.0,1319.0,93.1,0.071,63.6,Severely Delayed
Furniture,Southeast Asia,Sea,Cross-Dock,65.0,7772.2,23.0,834.11,51.0,60.0,82.2,0.174,57.0,Delayed
Perishable Food,East Asia,Road,Hybrid,849.0,9608.2,18.0,25076.07,580.0,818.0,87.5,0.119,59.2,Severely Delayed
Industrial Equipment,Southeast Asia,Sea,Manual,39.0,7957.0,23.0,638.93,51.0,57.0,69.8,0.189,66.1,Severely Delayed
Furniture,Latin America,Sea,Manual,330.0,8748.6,19.0,3831.39,302.0,341.0,72.1,0.14,57.1,Delayed
Perishable Food,Europe,Sea,Manual,863.0,8204.7,11.0,8031.95,856.0,762.0,89.9,0.047,54.2,Severely Delayed
Electronics,Europe,Road,Manual,755.0,5093.4,12.0,11318.5,479.0,502.0,94.5,0.01,29.6,On Time
Industrial Equipment,East Asia,Sea,Automated,121.0,10084.2,24.0,1543.07,164.0,117.0,78.0,0.155,71.7,Severely Delayed
Pharmaceuticals,North America,Road,Hybrid,291.0,2906.5,7.0,2774.45,436.0,314.0,89.7,0.039,15.2,Early
Apparel,South Asia,Rail,Hybrid,336.0,9733.7,16.0,7184.6,363.0,319.0,84.1,0.018,48.7,Delayed
Automotive Parts,East Asia,Rail,Manual,251.0,9652.3,19.0,5902.48,333.0,264.0,82.7,0.091,52.6,Delayed
Electronics,North America,Road,Cross-Dock,250.0,2701.2,1.0,2538.44,300.0,361.0,76.9,0.167,6.7,Early
Apparel,East Asia,Sea,Cross-Dock,248.0,9103.4,22.0,2798.66,301.0,293.0,75.6,0.109,62.3,Delayed
Pharmaceuticals,East Asia,Road,Hybrid,821.0,7005.3,21.0,14417.48,833.0,980.0,78.4,0.075,49.7,Delayed
Apparel,Europe,Road,Cross-Dock,1028.0,5759.1,10.0,17156.55,1115.0,1201.0,82.3,0.137,30.3,On Time
Perishable Food,North America,Air,Manual,1161.0,3887.9,4.0,36645.57,1516.0,1421.0,92.0,0.024,6.4,Early
Apparel,East Asia,Road,Cross-Dock,132.0,11827.7,18.0,5608.66,151.0,160.0,89.3,0.041,71.0,Severely Delayed
Electronics,East Asia,Sea,Cross-Dock,340.0,11348.0,25.0,4125.66,334.0,312.0,90.4,0.016,75.8,Severely Delayed
Electronics,East Asia,Sea,Hybrid,362.0,9320.7,26.0,3423.76,355.0,342.0,90.8,0.01,68.9,Severely Delayed
Electronics,North America,Air,Automated,412.0,3859.1,3.0,16792.47,81.0,512.0,86.9,0.078,2.2,Early
Industrial Equipment,North America,Road,Automated,84.0,4009.4,6.0,1156.68,77.0,82.0,89.1,0.027,18.2,On Time
Pharmaceuticals,East Asia,Road,Manual,370.0,13347.0,17.0,16089.49,266.0,374.0,81.9,0.103,78.1,Severely Delayed
Perishable Food,North America,Air,Hybrid,348.0,3119.5,3.0,10454.02,102.0,349.0,99.0,0.01,3.9,Early
Perishable Food,Latin America,Air,Manual,720.0,11190.9,6.0,76846.35,652.0,743.0,74.9,0.178,18.8,On Time
Furniture,North America,Sea,Hybrid,176.0,2812.0,11.0,732.73,93.0,116.0,89.7,0.066,19.7,Early
Electronics,North America,,Hybrid,537.0,4243.4,2.0,6628.39,348.0,516.0,85.1,0.034,15.8,On Time
Apparel,Europe,Sea,Automated,792.0,5773.8,13.0,5867.1,543.0,851.0,95.7,0.039,33.5,On Time
Furniture,Southeast Asia,Road,Automated,224.0,7190.8,15.0,4828.4,207.0,198.0,69.0,0.181,43.9,Delayed
Perishable Food,Latin America,Road,Hybrid,843.0,8349.1,15.0,22332.23,910.0,977.0,74.0,0.142,49.0,Delayed
Automotive Parts,East Asia,,Manual,423.0,8173.1,24.0,8453.4,327.0,387.0,82.0,0.069,52.9,Delayed
Industrial Equipment,East Asia,Road,Cross-Dock,135.0,10228.6,17.0,5110.93,96.0,138.0,80.5,0.04,59.7,Severely Delayed
Automotive Parts,East Asia,Sea,Cross-Dock,157.0,11597.4,23.0,2344.96,144.0,208.0,93.9,0.018,75.8,Severely Delayed
Electronics,Europe,Air,Manual,1003.0,4029.5,4.0,35075.68,720.0,1024.0,91.8,0.041,5.6,Early
Electronics,East Asia,Road,Hybrid,626.0,9201.4,18.0,19045.44,918.0,718.0,88.6,0.04,56.1,Severely Delayed
Electronics,Southeast Asia,Road,Hybrid,251.0,6596.2,19.0,4968.75,256.0,328.0,69.4,0.183,45.6,Delayed
Automotive Parts,East Asia,Sea,Cross-Dock,771.0,11047.7,24.0,10136.95,235.0,783.0,88.7,0.073,74.2,Severely Delayed
Industrial Equipment,North America,Sea,Manual,32.0,4394.9,9.0,422.9,16.0,27.0,98.8,0.023,31.2,Delayed
Industrial Equipment,East Asia,Road,Cross-Dock,182.0,9201.4,18.0,4938.77,158.0,203.0,84.0,0.031,55.0,Delayed
Apparel,North America,Road,Manual,142.0,3056.9,5.0,1837.25,130.0,135.0,87.7,0.083,14.0,Early
